0	0
1	0
2	0
3	0
4	0
5	0
6	1
7	1
8	1
9	1
10	1
11	1
12	2
13	2
14	2
15	2
16	2
17	2
18	3
19	3
20	3
21	3
22	3
23	3
24	4
25	4
26	4
27	4
28	4
29	4
30	5
31	5
32	5
33	5
34	5
35	5
36	6
37	6
38	6
39	6
40	6
41	6
42	7
43	7
44	7
45	7
46	7
47	7
48	8
49	8
50	8
51	8
52	8
53	8
54	9
55	9
56	9
57	9
58	9
59	9
60	10
61	10
62	10
63	10
64	10
65	10
66	11
67	11
68	11
69	11
70	11
71	11
72	12
73	12
74	12
75	12
76	12
77	12
78	13
79	13
80	13
81	13
82	13
83	13
84	14
85	14
86	14
87	14
88	14
89	14
90	15
91	15
92	15
93	15
94	15
95	15
96	16
97	16
98	16
99	16
100	16
101	16
102	17
103	17
104	17
105	17
106	17
107	17
108	18
109	18
110	18
111	18
112	18
113	18
114	19
115	19
116	19
117	19
118	19
119	19
120	20
121	20
122	20
123	20
124	20
125	20
126	21
127	21
128	21
129	21
130	21
131	21
132	22
133	22
134	22
135	22
136	22
137	22
138	23
139	23
140	23
141	23
142	23
143	23
144	24
145	24
146	24
147	24
148	24
149	24
