0	98	40	138	120	39
1	1	49	78	96	92
2	2	77	26	32	14
3	0	117	44	49	89
4	4	131	67	124	149
5	3	140	25	115	33
6	35	92	24	40	37
7	0	9	6	41	149
8	15	138	116	99	66
9	0	68	38	33	82
10	80	116	20	139	97
11	27	83	135	114	115
12	0	146	60	46	138
13	1	143	58	93	52
14	10	21	117	91	29
15	1	32	55	129	140
16	27	34	85	141	130
17	1	31	113	46	132
18	12	143	42	118	109
19	36	107	138	144	19
20	8	81	83	142	69
21	2	126	146	58	56
22	2	68	72	82	140
23	122	2	134	39	22
24	61	44	21	98	10
25	99	2	116	86	111
26	43	64	39	145	126
27	31	123	25	114	141
28	100	2	118	42	20
29	93	0	14	67	72
30	17	92	56	139	134
31	34	111	72	106	57
32	146	4	17	1	3
33	57	3	86	32	137
34	34	148	39	96	118
35	109	122	3	5	129
36	5	23	9	142	82
37	125	100	135	59	111
38	30	101	25	112	84
39	102	24	60	28	6
40	102	79	116	53	2
41	102	59	101	90	62
42	30	100	91	79	102
43	31	101	123	100	68
44	32	100	15	91	134
45	33	43	101	121	100
46	80	102	29	5	120
47	101	29	146	0	82
48	76	65	14	97	42
49	120	86	103	95	18
50	129	53	110	68	117
