0	98	40	138	120	39
1	100	49	78	96	92
2	149	77	26	32	14
3	103	117	44	49	89
4	32	131	67	124	149
5	111	140	25	115	33
6	35	92	24	40	37
7	102	9	6	41	149
8	15	138	116	99	66
9	44	68	38	33	82
10	80	116	20	139	97
11	27	83	135	114	115
12	0	146	60	46	138
13	62	143	58	93	52
14	10	21	117	91	29
15	78	32	55	129	140
16	27	34	85	141	130
17	13	31	113	46	132
18	12	143	42	118	109
19	36	107	138	144	19
20	8	81	83	142	69
21	2	126	146	58	56
22	52	68	72	82	140
23	122	137	134	39	22
24	61	44	21	98	10
25	99	19	116	86	111
26	43	64	39	145	126
27	31	123	25	114	141
28	100	4	118	42	20
29	93	0	14	67	72
30	17	92	56	139	134
31	34	111	72	106	57
32	146	132	17	1	3
33	57	88	86	3	137
34	34	148	39	96	118
35	109	122	38	5	129
36	5	23	9	142	82
37	125	55	135	59	111
38	60	42	25	112	84
39	102	24	60	28	6
40	112	79	116	53	2
41	80	59	79	90	62
42	95	39	91	79	48
43	0	50	123	100	68
44	95	100	15	91	134
45	118	43	29	121	100
46	80	133	8	5	120
47	101	134	146	0	82
48	76	65	14	97	42
49	120	86	103	95	18
50	129	53	110	68	117
51	88	74	110	26	15
52	77	85	149	58	114
53	32	118	129	12	126
54	132	119	24	138	86
55	7	137	110	16	100
56	120	39	16	82	75
57	17	70	51	102	48
58	7	24	15	132	37
59	5	0	1	16	25
60	25	5	81	110	10
61	134	144	41	100	124
62	53	145	133	110	102
63	58	47	69	22	80
64	132	18	106	59	9
65	81	146	107	12	98
66	141	45	61	34	80
67	130	12	67	137	44
68	147	27	125	64	55
69	87	76	4	98	13
70	49	137	96	123	94
71	65	97	18	102	113
72	109	33	104	85	113
73	133	97	71	47	146
74	129	14	95	121	120
75	116	45	55	69	46
76	49	87	145	86	74
77	130	125	87	48	107
78	84	72	95	75	13
79	84	122	52	33	129
80	47	66	122	84	28
81	137	27	139	77	17
82	28	41	139	39	137
83	41	10	71	31	11
84	64	4	90	94	60
85	40	2	137	17	5
86	141	51	44	107	71
87	119	102	77	73	18
88	96	134	60	81	16
89	66	134	96	76	120
90	131	20	134	51	44
91	28	10	104	147	98
92	122	73	26	134	32
93	22	66	117	84	33
94	138	84	118	63	133
95	116	29	113	85	138
96	109	12	58	36	97
97	55	129	75	52	83
98	129	143	119	86	82
99	61	53	18	30	34
